,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
860,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
861,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
862,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
863,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
864,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
865,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
866,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
867,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
868,A647,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
869,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
870,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
871,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
872,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
873,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
874,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
875,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
876,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
877,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
878,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
879,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
880,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
881,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
882,M1,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
883,M1,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
884,M1,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
885,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
886,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
887,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
888,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
889,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
890,A61,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycleCar,Slight
891,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
892,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
893,M621,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
894,M621,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
895,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Slight
896,A65,Dry,Daylight: Street lights present,Fine with high winds,Pedal cycle,Serious
897,A660,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Serious
898,B6154,Wet/Damp,Daylight: Street lights present,Raining with high winds,Taxi/Private hire car,Slight
899,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
900,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
901,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Pedal cycle,Slight
902,B6127,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
903,B6123,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
904,B6123,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
905,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
906,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
907,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
908,M1,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
909,M1,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
910,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
911,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
912,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
913,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
914,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
915,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
916,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
917,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
918,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
919,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
920,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
921,A658,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
922,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
923,A660,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
924,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
925,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
926,B6156,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
927,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
928,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
929,A63,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
930,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
931,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
932,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
933,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
934,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
935,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
936,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
937,A656,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
938,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
939,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
940,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
941,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
942,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
943,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
944,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
945,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
946,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
947,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
948,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
949,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
950,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
951,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
952,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
953,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
954,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
955,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
956,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Fatal
957,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
958,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
959,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
960,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
961,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
962,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
963,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
964,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
965,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Serious
966,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
967,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
968,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
969,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Serious
970,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
971,A65,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycle,Serious
972,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
973,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
974,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
975,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
976,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
977,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
978,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
979,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
980,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
981,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
982,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
983,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
984,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
985,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
986,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
987,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
988,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
989,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
990,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
991,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
992,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
993,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
994,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
995,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
996,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
997,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
998,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
999,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1000,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1001,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1002,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1003,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1004,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1005,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1006,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1007,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1008,A61,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1009,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1010,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1011,A61,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1012,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
1013,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1014,A6038,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1015,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1016,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1017,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1018,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1019,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1020,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1021,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1022,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1023,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1024,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1025,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1026,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1027,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1028,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
