,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
298,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Slight
299,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
300,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
301,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
302,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
303,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
304,A65,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
305,A58,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
306,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
307,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
308,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
309,A63,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
310,A63,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
311,M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
312,M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
313,M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
314,M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
315,M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
316,U,Wet/Damp,Daylight: Street lights present,Other,Car,Slight
317,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
318,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
319,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
320,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
321,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
322,A6110,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
323,A647,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
324,A647,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
325,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
326,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
327,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
328,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
329,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
330,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
